district_name,group_id,group_name
RUMUOKPARALI,3991,RUMUOKPARALI
VICTORY,3991,RUMUOKPARALI
DECISION ESTATE,3992,NEW LAYOUT
ELEME JUNCTION,3992,NEW LAYOUT
NEW JERUSALEM,3992,NEW LAYOUT
NEW LAYOUT,3992,NEW LAYOUT
RUMUCHIORLU,3992,NEW LAYOUT
FREEDOM ESTATE,3993,PALMVIEW
HEAVENLY HIGHWAY,3993,PALMVIEW
PALM VIEW,3993,PALMVIEW
POWER LOCATION,3993,PALMVIEW
SALVATION GATE,3993,PALMVIEW
EBENEZER,3994,PIPE-LINE
PIPELINE 1,3994,PIPE-LINE
PIPELINE2,3994,PIPE-LINE
WHITE HOUSE,3994,PIPE-LINE
WUTCHE,3994,PIPE-LINE
ELIKPOKWU ODU,3995,ELIKPOKWU-ODU
HAPPY STREET,3995,ELIKPOKWU-ODU
NEW JERUSALEM,3995,ELIKPOKWU-ODU
PIPELINE,3995,ELIKPOKWU-ODU
RUMUOPARA,3995,ELIKPOKWU-ODU
ELIJIJI,3996,RUKPOKWU
MGBUCHI,3996,RUKPOKWU
OKPORO,3996,RUKPOKWU
RUKPOKWU,3996,RUKPOKWU
CENTRAL,3997,RUMUAPU
FAITH,3997,RUMUAPU
FAITH EXT,3997,RUMUAPU
GAS PLANT,3997,RUMUAPU
ORJI,3997,RUMUAPU
RUMUAPU,3997,RUMUAPU
TRIUMPHANT,3997,RUMUAPU
EZI - OBODO,3998,WHITE HOUSE
RUMUEHIEWHO,3998,WHITE HOUSE
RUMUIJIMA,3998,WHITE HOUSE
WHITE HOUSE,3998,WHITE HOUSE
COCA-COLA,3999,INT'L MARKET
ELIWELIBO,3999,INT'L MARKET
LINK ROAD,3999,INT'L MARKET
NEW LAYOUT,3999,INT'L MARKET
ANYA,4000,RUMUAGHOLU
OKEMINI,4000,RUMUAGHOLU
PIPELINE,4000,RUMUAGHOLU
RUMUAGHOLU,4000,RUMUAGHOLU
AKWAKA,4001,RUMUODOMAYA
ESTATE,4001,RUMUODOMAYA
GLORIOUS,4001,RUMUODOMAYA
RUMUODOMAYA,4001,RUMUODOMAYA
AGBADA,4002,AGBADA
BOUNDARY,4002,AGBADA
UPPER ROOM,4002,AGBADA
AGIP,4003,AGIP
ALABASTER,4003,AGIP
FEDERAL,4003,AGIP
GREAT FAITH,4003,AGIP
MARKET,4003,AGIP
NEW LAYOUT,4003,AGIP
OKABIE,4003,AGIP
ORO-AKWOR,4003,AGIP
ALPHA,4004,EAGLE ISLAND
ISLAND,4004,EAGLE ISLAND
OMEGA,4004,EAGLE ISLAND
EMMANUEL,4005,RUMUCHINDA
