district_name,group_name
IBOLOJI,RUMUIGBO
KPAKANI,RUMUIGBO
OTOGBO,RUMUIGBO
RUMUDEDE,RUMUIGBO
RUMUIGBO,RUMUIGBO
CHIWORLU,RUMUOMOI
RUMUOMOI,RUMUOMOI
RUMUOROSI,RUMUOMOI
EFIK ELIOGBOLO,EFIK-OBIO
EFIK ENEKA,EFIK-OBIO
EFIK ORIANWO,EFIK-OBIO
EFIK PALMVIEW,EFIK-OBIO
EFIK RUMUESARA,EFIK-OBIO
GOD'S OWN 1,GOD'S OWN
GOD'S OWN 2,GOD'S OWN
GOD'S OWN 3,GOD'S OWN
GOD'S OWN 4,GOD'S OWN
ADAMAC,ORIANWO
ADAMAC ESTATE,ORIANWO
AVENUE,ORIANWO
HARMONY,ORIANWO
ORIANWO,ORIANWO
TANK,ORIANWO
APAOGWU,RUMUODARA
MGBESILARU 1,RUMUODARA
MGBESILARU 2,RUMUODARA
POWERLINE,RUMUODARA
RUMUODARA 1,RUMUODARA
RUMUODARA 2,RUMUODARA
VICTORY,RUMUODARA
CHIKWE,RUMUOKWURUSHI
ORI,RUMUOKWURUSHI
RUMUCHIORLU,RUMUOKWURUSHI
SCHOOL,RUMUOKWURUSHI
UNITY,RUMUOKWURUSHI
ELIGBOLO,ELIGBOLO
ELIGBOLO NEW LAYOUT,ELIGBOLO
MINI AZA,ELIGBOLO
RUKPAKULUSI NEW LAYOUT,ELIGBOLO
RUKPAKULUSI TOWN,ELIGBOLO
STANDARD CHILD,ELIGBOLO
ADP,ODOZU
AZUMINI,ODOZU
CORNERSTONE,ODOZU
FEDERAL,ODOZU
GATEWAY,ODOZU
ODOZU,ODOZU
PIPELINE,ODOZU
BARRACKS,BARRACKS
ESSUM,BARRACKS
GLORIOUS,BARRACKS
IGWE,BARRACKS
WORLU,BARRACKS
EFIK BARRACKS,EFIK-RUMUOKORO
EFIK RUMUDUMAYA,EFIK-RUMUOKORO
EFIK RUMUIGBO,EFIK-RUMUOKORO
EFIK RUMUOROSI,EFIK-RUMUOKORO
FEDERAL,RUMUOKORO
RUMUAGHULO 2,RUMUOKORO
RUMUOKORO,RUMUOKORO
RUMUOTON,RUMUOKORO
AKER,AZUMINI
AZUMINI,AZUMINI
AZUMINI EXTENSION,AZUMINI
EAGLE CEMENT,AZUMINI
IWOFE,AZUMINI
NEW JERUSALEM,AZUMINI
NEW LAYOUT,AZUMINI
CHIWOTA,CHINWOTA
CHIWOTA EXTENSION,CHINWOTA
JUBILEE,CHINWOTA
LIFE-FORTE,CHINWOTA
ROYAL,CHINWOTA
DIVINE,ELIOPARANWO
ELIOPARANWO,ELIOPARANWO
MGBUAKARA,ELIOPARANWO
ORO EKPO,ELIOPARANWO
BETHESDA DISTRICT,MGBUODOHIA
JIREH DISTRICT,MGBUODOHIA
MGBUODOHIA DISTRICT,MGBUODOHIA
MGBUONUWO DISTRICT,MGBUODOHIA
AKATALI,MGBUOLIMINI
FLOURISH,MGBUOLIMINI
MGBUAGO,MGBUOLIMINI
MGBUALIMINI,MGBUOLIMINI
MGBUALIMINI EXTENSION,MGBUOLIMINI
MGBUOLUWON,MGBUOLIMINI
MGBUOSIMINI,MGBUOLIMINI
MGBUOSIMINI  EXTENSION,MGBUOLIMINI
DOMINION,NKPOR
EXTENTION 3,NKPOR
LIBERATION,NKPOR
MBGUOKANIORO,NKPOR
MGBUAMADI,NKPOR
NKPOR,NKPOR
OKOCHA,NKPOR
OVERCOMERS,NKPOR
SPLENDOUR,NKPOR
AMONI,AZUABIE
AZUABIE,AZUABIE
EMMA ESTATE,AZUABIE
NYANABO,AZUABIE
ZOO,AZUABIE
ARETA,ELEKAHIA
ELEKAHIA ESTATE,ELEKAHIA
ELEKAHIA TOWN,ELEKAHIA
ILO,ELEKAHIA
OHIAMINI,ELEKAHIA
STADIUM,ELEKAHIA
MINI EWA,OGINIGBA
OGINIGBA,OGINIGBA
OLUOZU,OGINIGBA
ESTATE,RUMUIBEKWE
EXTENSION,RUMUIBEKWE
PARKER CRESCENT,RUMUIBEKWE
RUMUIBEKWE,RUMUIBEKWE
RUMUWOKE,RUMUIBEKWE
MANGROVE,RUMUOGBA
RAILWAY,RUMUOGBA
RUMUOGBA,RUMUOGBA
RUMUOGBA 2,RUMUOGBA
FLEMING,RUMUOMASI
IGBOGO,RUMUOMASI
RUMUOBIAKANI,RUMUOMASI
RUMUOMASI,RUMUOMASI
SHELL I A,RUMUOMASI
BAPTIST,BORIKIRI
BISHOP JOHNSON,BORIKIRI
DOMINION,BORIKIRI
U.P.E,BORIKIRI
GIDEON,BUNDU
HARBOUR,BUNDU
IBETO,BUNDU
MACOBAR,BUNDU
MARKET,BUNDU
N.P.A,BUNDU
RECLAMATION,BUNDU
SCHOOL ROAD,BUNDU
EFIK BAPTIST,EFIK-TOWN
EFIK BORIKIRI,EFIK-TOWN
EFIK MARINE BASE,EFIK-TOWN
EFIK NEW BUNDU,EFIK-TOWN
EFIK NEW LAYOUT,EFIK-TOWN
EFIK OLD BUNDU,EFIK-TOWN
ANDONI BUNDU,LANGUAGE
HAUSA RAINBOW,LANGUAGE
KALABARI DIOBU,LANGUAGE
KALABARI ELECHI,LANGUAGE
KALABARI/IJAW TOWN,LANGUAGE
OGONI AGIP,LANGUAGE
OGONI OGBUNABALI,LANGUAGE
OKRIKA MARINE BASE,LANGUAGE
OKRIKA TOWN,LANGUAGE
YORUBA ABULOMA,LANGUAGE
YORUBA AGIP,LANGUAGE
YORUBA AKABASE,LANGUAGE
YORUBA ENEKA,LANGUAGE
YORUBA MILE 3,LANGUAGE
YORUBA OGBOGORO,LANGUAGE
ESTATE,MARINE BASE
GOSPEL,MARINE BASE
N.E.P.A,MARINE BASE
RAILWAY,MARINE BASE
STATION,MARINE BASE
WATER GLASS,MARINE BASE
BISHOP JOHNSON,TOWN
DOCKYARD,TOWN
DOMINION,TOWN
F.M,TOWN
NEW LAYOUT,TOWN
TOWN,TOWN
EGBEMA,NEW ROAD
ETCHE,NEW ROAD
FEDERAL ESTATE,NEW ROAD
HOLINESS,NEW ROAD
NEW ROAD,NEW ROAD
OKARKI,NEW ROAD
ABEC DISTRICT,ALCON
ALCON,ALCON
GBALAJAM,ALCON
NVUIGWE,ALCON
CHEKWA,ELELENWO
ELIMINIGWE,ELELENWO
ODANI GREEN CITY,ELELENWO
RUMUODUNWERE,ELELENWO
SALVATION,ELELENWO
BETHEL,OIL MILL
OILMILL,OIL MILL
RUMUEHELEZE 2,OIL MILL
SCHOOL ROAD,OIL MILL
WODI,OIL MILL
EGBOHOM,RUMUODANI
ELIMINIGWE2,RUMUODANI
ELIMINIGWE3,RUMUODANI
RUMUEHELEZE1,RUMUODANI
RUMUODANI 1,RUMUODANI
RUMUODANI 3,RUMUODANI
RUMUODANI2,RUMUODANI
SAMANGA,RUMUODANI
ELIJIJI-1,RUMUROLU
ILOM,RUMUROLU
LAYOUT,RUMUROLU
RUMUROLU,RUMUROLU
NEW LAYOUT,WOJI TOWN
OGBATAI 1,WOJI TOWN
OGBATAI 2,WOJI TOWN
POST OFFICE,WOJI TOWN
WOJI TOWN,WOJI TOWN
ESTATE 3 DISTRICT.,ESTATE
ESTATE JUNCTION,ESTATE
ESTATE1 DISTRICT,ESTATE
PEACE ESTATE,ESTATE
